TAZ_NODE,TAZ_SEQ,COUNTY,county_name,COUNTYFP10,TRACTCE10,PUMA10,PUMA20,DistID,DistName,TAZ_X,TAZ_Y
400553,4105,5,Contra Costa,013,338302,01306,01313,22,Walnut Creek,-122.03418371907107,37.91435834433484
400554,4106,5,Contra Costa,013,338203,01306,01313,22,Walnut Creek,-122.05151584165367,37.93198837075292
400555,4107,5,Contra Costa,013,338302,01306,01313,22,Walnut Creek,-122.00485541627675,37.90339952411339
400556,4108,5,Contra Costa,013,343001,01306,01313,22,Walnut Creek,-122.03724018640818,37.890399314444835
400557,4109,5,Contra Costa,013,340002,01304,01312,22,Walnut Creek,-122.09230491788303,37.91575894895482
400558,4110,5,Contra Costa,013,340002,01304,01312,22,Walnut Creek,-122.08509199943498,37.923568439047905
400559,4111,5,Contra Costa,013,345105,01305,01305,23,Danville & San Ramon,-121.9842199569955,37.80898569569546
400560,4112,5,Contra Costa,013,329000,01303,01311,21,Concord & Martinez,-122.03142478692124,38.00457541178821
400561,4113,5,Contra Costa,013,329000,01303,01311,21,Concord & Martinez,-122.03041214740261,38.00068891353081
400562,4114,5,Contra Costa,013,330000,01307,01313,21,Concord & Martinez,-122.02583511224265,37.99759701213354
400563,4115,5,Contra Costa,013,330000,01307,01313,21,Concord & Martinez,-122.0264989777739,37.990808529213375
400564,4116,5,Contra Costa,013,330000,01307,01313,21,Concord & Martinez,-122.02216814588697,37.98484021395456
400565,4117,5,Contra Costa,013,331000,01307,01313,21,Concord & Martinez,-122.02240017492305,37.97559879436565
400566,4118,5,Contra Costa,013,356001,01303,01310,20,Richmond & El Cerrito,-122.22565122421713,38.024571626478654
400567,4119,5,Contra Costa,013,359202,01302,01310,20,Richmond & El Cerrito,-122.24461413992779,37.98228728690812
400568,4120,5,Contra Costa,013,359203,01302,01310,20,Richmond & El Cerrito,-122.24680640268267,38.00096022354446
400569,4121,5,Contra Costa,013,360200,01302,01310,20,Richmond & El Cerrito,-122.28884532509616,37.96576272270468
400570,4122,5,Contra Costa,013,365002,01301,01301,20,Richmond & El Cerrito,-122.37338535141073,37.95640451612465
