GEOID10,MAZ_NODE,TAZ_NODE
060014008002005,310269,300766
060014008002006,332227,300766
060014008002007,332227,300766
060014008002008,314453,300766
060014008002009,314453,300766
060014008002010,332227,300766
060014008002011,332227,300766
060014008002012,314453,300766
060014008002013,332231,300766
060014008003000,310279,300234
060014008003001,320968,300234
060014008003002,333750,300234
060014008003003,319586,300234
060014008003004,319586,300234
060014008003005,319586,300234
060014008003006,310272,300234
060014008003007,333099,300234
060014008003008,320089,300234
060014008003009,319406,300234
060014008003010,325679,300234
060014008003011,325679,300234
060014008003012,310277,300234
060014008003013,310277,300234
060014008003014,333752,300234
060014008003015,332230,300234
060014008003016,325679,300234
060014008003017,319406,300234
060014008003018,319406,300234
060014008003019,320089,300234
060014008003020,320089,300234
060014009001000,320824,300126
060014009001001,320824,300126
060014009001002,316912,300126
060014009001003,314465,300126
060014009001004,314465,300126
060014009001005,310281,300126
060014009001006,320826,300126
060014009001007,320824,300126
060014009001008,320826,300126
060014009001009,325684,300126
060014009001010,325682,300126
060014009001011,325881,300126
060014009001012,332233,300126
060014009001013,315577,300126
060014009001014,325685,300126
060014009002000,311597,300825
060014009002001,325683,300825
060014009002002,325678,300825
060014009002003,325880,300825
060014009002004,316688,300825
060014009002005,316688,300825
060014009002006,332234,300825
060014009002007,333944,300825
060014009002008,333944,300825
060014009002009,332234,300825
060014009002010,332234,300825
060014009002011,332234,300825
060014009002012,332234,300825
060014009002013,325686,300825
060014009002014,310275,300825
060014009002015,326176,300825
060014009002016,326176,300825
060014010001000,314794,300715
060014010001001,314794,300715
060014010001002,314794,300715
060014010001003,314794,300715
060014010001004,316298,300715
060014010001005,314794,300715
060014010001006,314794,300715
060014010001007,316298,300715
060014010001008,316298,300715
060014010001009,316298,300715
060014010001010,314786,300715
060014010001011,314786,300715
060014010001012,314786,300715
060014010001013,314644,300715
060014010001014,314786,300715
060014010001015,314786,300715
060014010001016,330939,300715
060014010001017,316298,300715
060014010001018,316298,300715
060014010001019,330939,300715
060014010001020,314794,300715
060014010002000,310004,300716
060014010002001,310004,300716
060014010002002,310004,300716
060014010002003,325242,300716
060014010002004,325242,300716
060014010002005,332214,300716
060014010002006,332214,300716
060014010002007,333053,300716
060014010002008,333053,300716
060014010002009,318694,300716
060014010002010,318694,300716
060014010002011,310004,300716
060014010002012,310004,300716
060014010002013,310004,300716
060014010002014,310004,300716
060014010002015,310004,300716
060014010003000,313122,300127
060014010003001,313122,300127
060014010003002,313122,300127
060014010003003,333054,300127
060014010003004,321502,300127
060014010003005,321502,300127
060014010003006,321503,300127
060014010003007,321503,300127
060014010003008,321504,300127
060014010003009,321504,300127
060014010003010,313122,300127
060014010003011,313122,300127
060014010003012,313122,300127
060014010003013,314915,300127
060014010003014,314915,300127
060014010003015,314915,300127
060014010003016,321504,300127
060014010003017,325984,300127
060014010003018,325984,300127
060014010003019,325846,300127
060014010003020,321503,300127
060014010003021,324297,300127
060014010003022,324297,300127
060014010003023,333055,300127
060014010004000,316914,300022
060014010004001,316914,300022
060014010004002,311321,300022
060014010004003,311321,300022
060014010004004,311321,300022
060014010004005,311321,300022
060014010004006,311321,300022
060014010004007,311321,300022
060014010004008,311321,300022
060014010004009,311321,300022
060014010004010,316914,300022
060014010004011,316914,300022
060014010004012,315290,300022
060014010004013,315290,300022
060014010004014,311321,300022
060014010004015,311321,300022
060014010004016,311321,300022
060014010004017,315290,300022
060014010004018,315290,300022
060014010005000,315446,300016
060014010005001,313134,300016
060014010005002,313134,300016
060014010005003,315438,300016
060014010005004,315446,300016
060014010005005,313134,300016
060014010005006,313315,300016
060014010005007,313814,300016
060014010005008,330678,300016
060014010005009,313962,300016
060014010005010,330678,300016
060014010005011,313814,300016
060014010005012,313814,300016
060014010005013,313315,300016
060014010005014,313315,300016
060014010005015,313962,300016
060014010005016,313962,300016
060014010006000,328511,300023
060014010006001,328511,300023
060014010006002,328511,300023
060014010006003,314797,300023
060014010006004,314646,300023
060014010006005,316972,300023
060014010006006,316972,300023
060014010006007,318662,300023
060014010006008,316971,300023
060014010006009,316971,300023
060014010006010,314797,300023
060014010006011,325702,300023
060014010006012,314797,300023
060014011001000,315551,300377
060014011001001,315551,300377
060014011001002,315551,300377
060014011001003,315551,300377
060014011001004,318674,300377
060014011001005,318674,300377
060014011001006,313133,300377
060014011001007,313133,300377
060014011001008,315551,300377
060014011001009,313133,300377
060014011001010,313133,300377
060014011001011,314457,300377
060014011001012,314457,300377
060014011001013,314457,300377
060014011001014,314457,300377
060014011001015,314457,300377
060014011001016,327182,300377
060014011001017,327182,300377
060014011002000,320832,300376
060014011002001,320832,300376
060014011002002,311605,300376
060014011002003,311605,300376
060014011002004,311605,300376
060014011002005,311605,300376
060014011002006,311605,300376
060014011002007,312260,300376
060014011002008,313999,300376
060014011002009,318700,300376
060014011002010,318700,300376
060014011002011,312260,300376
060014011002012,313999,300376
060014011002013,313999,300376
060014011002014,313999,300376
060014011002015,313999,300376
060014011003000,327186,300177
060014011003001,327186,300177
060014011003002,330849,300177
060014011003003,330849,300177
060014011003004,312477,300177
060014011003005,326509,300177
060014011003006,326509,300177
060014011003007,326509,300177
060014011003008,312477,300177
060014011003009,312477,300177
060014011003010,312477,300177
060014011003011,312477,300177
060014011003012,315119,300177
060014011003013,315119,300177
060014011003014,326509,300177
060014011003015,312167,300177
060014011003016,312477,300177
060014011003017,324360,300177
060014011003018,324360,300177
060014011003019,324360,300177
060014011004000,310287,300170
060014011004001,310287,300170
060014011004002,310287,300170
060014011004003,310287,300170
060014011004004,310287,300170
060014011004005,318671,300170
060014011004006,318671,300170
060014011004007,320972,300170
