tract,hhwrks0_,hhwrks1_,hhwrks2_,hhwrks3p_,ownkidsyes_,rentkidsyes_,ownkidsno_,rentkidsno_,county_fips,taz,weight
06001428200,0,0,0,0,0,0,0,0,06001,951,1.0
06001428301,0,0,0,0,0,0,0,0,06001,952,1.0
06001428302,0,0,0,0,0,0,0,0,06001,953,1.0
06001428400,0,0,0,0,0,0,0,0,06001,954,1.0
06001428500,0,0,0,0,0,0,0,0,06001,957,1.0
06001428600,0,0,0,0,0,0,0,0,06001,958,1.0
06001428700,0,0,0,0,0,0,0,0,06001,961,0.5000440475146246
06001428700,0,0,0,0,0,0,0,0,06001,964,0.49995595248537533
06001430101,0,0,0,0,0,0,0,0,06001,,
06001430102,0,0,0,0,0,0,0,0,06001,844,1.0
06001430200,0,0,0,0,0,0,0,0,06001,845,1.0
06001430300,0,0,0,0,0,0,0,0,06001,850,1.0
06001430400,0,0,0,0,0,0,0,0,06001,851,1.0
06001430500,0,0,0,0,0,0,0,0,06001,853,1.0
06001430600,0,0,0,0,0,0,0,0,06001,852,1.0
06001430700,0,0,0,0,0,0,0,0,06001,849,1.0
06001430800,0,0,0,0,0,0,0,0,06001,846,1.0
06001430900,0,0,0,0,0,0,0,0,06001,848,1.0
06001431000,0,0,0,0,0,0,0,0,06001,847,1.0
06001431100,0,0,0,0,0,0,0,0,06001,842,1.0
06001431200,0,0,0,0,0,0,0,0,06001,840,1.0
06001432100,0,0,0,0,0,0,0,0,06001,868,1.0
06001432200,0,0,0,0,0,0,0,0,06001,869,1.0
06001432300,0,0,0,0,0,0,0,0,06001,870,1.0
06001432400,0,0,0,0,0,0,0,0,06001,873,1.0
06001432501,0,0,0,0,0,0,0,0,06001,872,1.0
06001432502,0,0,0,0,0,0,0,0,06001,,
06001432601,0,0,0,0,0,0,0,0,06001,871,1.0
06001432602,0,0,0,0,0,0,0,0,06001,,
06001432700,0,0,0,0,0,0,0,0,06001,867,1.0
06001432800,0,0,0,0,0,0,0,0,06001,866,1.0
06001433000,0,0,0,0,0,0,0,0,06001,865,1.0
06001433102,0,0,0,0,0,0,0,0,06001,863,1.0
06001433103,0,0,0,0,0,0,0,0,06001,,
06001433104,0,0,0,0,0,0,0,0,06001,864,1.0
06001433200,0,0,0,0,0,0,0,0,06001,862,1.0
06001433300,0,0,0,0,0,0,0,0,06001,861,1.0
06001433400,0,0,0,0,0,0,0,0,06001,860,1.0
06001433500,0,0,0,0,0,0,0,0,06001,859,1.0
06001433600,0,0,0,0,0,0,0,0,06001,858,1.0
06001433700,0,0,0,0,0,0,0,0,06001,857,1.0
06001433801,0,0,0,0,0,0,0,0,06001,,
06001433802,0,0,0,0,0,0,0,0,06001,856,1.0
06001433900,0,0,0,0,0,0,0,0,06001,854,1.0
06001434000,0,0,0,0,0,0,0,0,06001,855,1.0
06001435102,0,0,0,0,0,0,0,0,06001,821,1.0
06001435103,0,0,0,0,0,0,0,0,06001,820,1.0
06001435104,0,0,0,0,0,0,0,0,06001,,
06001435200,0,0,0,0,0,0,0,0,06001,843,1.0
06001435300,0,0,0,0,0,0,0,0,06001,841,1.0
06001435400,0,0,0,0,0,0,0,0,06001,839,1.0
06001435500,0,0,0,0,0,0,0,0,06001,838,1.0
06001435601,0,0,0,0,0,0,0,0,06001,,
06001435602,0,0,0,0,0,0,0,0,06001,837,1.0
06001435700,0,0,0,0,0,0,0,0,06001,836,1.0
06001435800,0,0,0,0,0,0,0,0,06001,835,1.0
06001435900,0,0,0,0,0,0,0,0,06001,834,1.0
06001436000,0,0,0,0,0,0,0,0,06001,833,1.0
06001436100,0,0,0,0,0,0,0,0,06001,832,1.0
06001436200,0,0,0,0,0,0,0,0,06001,831,1.0
06001436301,0,0,0,0,0,0,0,0,06001,828,1.0
06001436302,0,0,0,0,0,0,0,0,06001,,
06001436402,0,0,0,0,0,0,0,0,06001,822,1.0
06001436403,0,0,0,0,0,0,0,0,06001,,
06001436404,0,0,0,0,0,0,0,0,06001,823,1.0
06001436500,0,0,0,0,0,0,0,0,06001,824,1.0
06001436601,0,0,0,0,0,0,0,0,06001,825,1.0
06001436602,0,0,0,0,0,0,0,0,06001,826,1.0
06001436700,0,0,0,0,0,0,0,0,06001,829,1.0
06001436800,0,0,0,0,0,0,0,0,06001,827,1.0
06001436900,0,0,0,0,0,0,0,0,06001,830,1.0
06001437000,0,0,0,0,0,0,0,0,06001,812,1.0
06001437101,0,0,0,0,0,0,0,0,06001,810,1.0
06001437102,0,0,0,0,0,0,0,0,06001,,
06001437200,0,0,0,0,0,0,0,0,06001,811,1.0
06001437300,0,0,0,0,0,0,0,0,06001,813,1.0
06001437400,0,0,0,0,0,0,0,0,06001,814,1.0
06001437500,0,0,0,0,0,0,0,0,06001,815,1.0
06001437600,0,0,0,0,0,0,0,0,06001,816,1.0
06001437701,0,0,0,0,0,0,0,0,06001,817,1.0
06001437702,0,0,0,0,0,0,0,0,06001,,
06001437800,0,0,0,0,0,0,0,0,06001,818,1.0
06001437900,0,0,0,0,0,0,0,0,06001,819,1.0
06001438000,0,0,0,0,0,0,0,0,06001,804,1.0
06001438100,0,0,0,0,0,0,0,0,06001,805,1.0
06001438201,0,0,0,0,0,0,0,0,06001,807,1.0
06001438203,0,0,0,0,0,0,0,0,06001,806,1.0
06001438204,0,0,0,0,0,0,0,0,06001,,
06001438300,0,0,0,0,0,0,0,0,06001,808,1.0
06001438400,0,0,0,0,0,0,0,0,06001,809,1.0
06001440100,0,0,0,0,0,0,0,0,06001,803,1.0
06001440200,0,0,0,0,0,0,0,0,06001,802,1.0
06001440301,0,0,0,0,0,0,0,0,06001,797,1.0
06001440304,0,0,0,0,0,0,0,0,06001,793,1.0
06001440305,0,0,0,0,0,0,0,0,06001,792,1.0
06001440306,0,0,0,0,0,0,0,0,06001,791,1.0
06001440307,0,0,0,0,0,0,0,0,06001,798,1.0
06001440308,0,0,0,0,0,0,0,0,06001,800,1.0
06001440331,0,0,0,0,0,0,0,0,06001,795,1.0
06001440332,0,0,0,0,0,0,0,0,06001,794,1.0
06001440333,0,0,0,0,0,0,0,0,06001,796,1.0
06001440334,0,0,0,0,0,0,0,0,06001,,
06001440336,0,0,0,0,0,0,0,0,06001,801,1.0
06001440337,0,0,0,0,0,0,0,0,06001,,
06001440338,0,0,0,0,0,0,0,0,06001,,
06001441100,0,0,0,0,0,0,0,0,06001,781,1.0
06001441200,0,0,0,0,0,0,0,0,06001,782,1.0
06001441301,0,0,0,0,0,0,0,0,06001,783,1.0
06001441302,0,0,0,0,0,0,0,0,06001,784,1.0
06001441401,0,0,0,0,0,0,0,0,06001,787,1.0
06001441402,0,0,0,0,0,0,0,0,06001,799,1.0
06001441501,0,0,0,0,0,0,0,0,06001,790,1.0
06001441503,0,0,0,0,0,0,0,0,06001,750,0.3461540584955718
06001441503,0,0,0,0,0,0,0,0,06001,751,0.3459935798256992
06001441503,0,0,0,0,0,0,0,0,06001,769,0.307852361678729
