,county,grouping,universe,share,dataset
147,San Francisco,"Total: Car, truck, or van - drove alone: 1 vehicle available",53629,3.935585237500817,2023 ACS 1 Year
148,San Francisco,"Total: Car, truck, or van - drove alone: 2 vehicles available",48215,3.5382767201719565,2023 ACS 1 Year
149,San Francisco,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",27249,1.999678571978962,2023 ACS 1 Year
150,San Francisco,"Total: Car, truck, or van - carpooled:",31977,2.3466447097571015,2023 ACS 1 Year
151,San Francisco,"Total: Car, truck, or van - carpooled: No vehicle available",2887,0.21186362939202402,2023 ACS 1 Year
152,San Francisco,"Total: Car, truck, or van - carpooled: 1 vehicle available",12630,0.9268575127195233,2023 ACS 1 Year
153,San Francisco,"Total: Car, truck, or van - carpooled: 2 vehicles available",10030,0.7360554910987188,2023 ACS 1 Year
154,San Francisco,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",6430,0.47186807654683566,2023 ACS 1 Year
155,San Francisco,Total: Public transportation (excluding taxicab):,99881,7.329806431349066,2023 ACS 1 Year
156,San Francisco,Total: Public transportation (excluding taxicab): No vehicle available,38442,2.821081275056525,2023 ACS 1 Year
157,San Francisco,Total: Public transportation (excluding taxicab): 1 vehicle available,37201,2.730010002429056,2023 ACS 1 Year
158,San Francisco,Total: Public transportation (excluding taxicab): 2 vehicles available,14575,1.0695921019704713,2023 ACS 1 Year
159,San Francisco,Total: Public transportation (excluding taxicab): 3 or more vehicles available,9663,0.709123051893013,2023 ACS 1 Year
160,San Francisco,Total: Walked:,43986,3.2279298934664253,2023 ACS 1 Year
161,San Francisco,Total: Walked: No vehicle available,19156,1.4057705869877424,2023 ACS 1 Year
162,San Francisco,Total: Walked: 1 vehicle available,18874,1.3850759061811782,2023 ACS 1 Year
163,San Francisco,Total: Walked: 2 vehicles available,5080,0.3727977960898795,2023 ACS 1 Year
164,San Francisco,Total: Walked: 3 or more vehicles available,876,0.06428560420762489,2023 ACS 1 Year
165,San Francisco,"Total: Taxicab, motorcycle, bicycle, or other means:",29593,2.17169393300941,2023 ACS 1 Year
166,San Francisco,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",9371,0.6876945171571379,2023 ACS 1 Year
167,San Francisco,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",13536,0.9933446787150805,2023 ACS 1 Year
168,San Francisco,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",4697,0.3446911905972764,2023 ACS 1 Year
169,San Francisco,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",1989,0.14596354653991542,2023 ACS 1 Year
170,San Francisco,Total: Worked from home:,112201,8.233914472259954,2023 ACS 1 Year
171,San Francisco,Total: Worked from home: No vehicle available,23092,1.6946154935644682,2023 ACS 1 Year
172,San Francisco,Total: Worked from home: 1 vehicle available,52914,3.883114681555095,2023 ACS 1 Year
173,San Francisco,Total: Worked from home: 2 vehicles available,26127,1.9173401611102918,2023 ACS 1 Year
174,San Francisco,Total: Worked from home: 3 or more vehicles available,10068,0.7388441360300997,2023 ACS 1 Year
176,San Mateo,Total: No vehicle available,11167,0.9893586577963712,2023 ACS 1 Year
177,San Mateo,Total: 1 vehicle available,79773,7.067619612106199,2023 ACS 1 Year
178,San Mateo,Total: 2 vehicles available,150735,13.354614245807827,2023 ACS 1 Year
179,San Mateo,Total: 3 or more vehicles available,134562,11.921740817622934,2023 ACS 1 Year
180,San Mateo,"Total: Car, truck, or van - drove alone:",227557,20.160785178845604,2023 ACS 1 Year
181,San Mateo,"Total: Car, truck, or van - drove alone: No vehicle available",3842,0.3403882836261895,2023 ACS 1 Year
182,San Mateo,"Total: Car, truck, or van - drove alone: 1 vehicle available",41413,3.6690525741310225,2023 ACS 1 Year
183,San Mateo,"Total: Car, truck, or van - drove alone: 2 vehicles available",91325,8.091087975575679,2023 ACS 1 Year
184,San Mateo,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",90977,8.060256345512713,2023 ACS 1 Year
185,San Mateo,"Total: Car, truck, or van - carpooled:",38679,3.4268293655328956,2023 ACS 1 Year
186,San Mateo,"Total: Car, truck, or van - carpooled: No vehicle available",1274,0.11287211695465003,2023 ACS 1 Year
187,San Mateo,"Total: Car, truck, or van - carpooled: 1 vehicle available",8488,0.752008264294403,2023 ACS 1 Year
188,San Mateo,"Total: Car, truck, or van - carpooled: 2 vehicles available",14350,1.2713617569067723,2023 ACS 1 Year
189,San Mateo,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",14567,1.29058722737707,2023 ACS 1 Year
190,San Mateo,Total: Public transportation (excluding taxicab):,20563,1.8218126694964434,2023 ACS 1 Year
191,San Mateo,Total: Public transportation (excluding taxicab): No vehicle available,3043,0.2695995697747253,2023 ACS 1 Year
192,San Mateo,Total: Public transportation (excluding taxicab): 1 vehicle available,6553,0.5805737695477408,2023 ACS 1 Year
193,San Mateo,Total: Public transportation (excluding taxicab): 2 vehicles available,7018,0.6217712062698069,2023 ACS 1 Year
194,San Mateo,Total: Public transportation (excluding taxicab): 3 or more vehicles available,3949,0.3498681239041703,2023 ACS 1 Year
195,San Mateo,Total: Walked:,8276,0.7332257770146654,2023 ACS 1 Year
196,San Mateo,Total: Walked: No vehicle available,421,0.037299184645139455,2023 ACS 1 Year
197,San Mateo,Total: Walked: 1 vehicle available,2569,0.22760476330965146,2023 ACS 1 Year
198,San Mateo,Total: Walked: 2 vehicles available,2716,0.24062846911211108,2023 ACS 1 Year
199,San Mateo,Total: Walked: 3 or more vehicles available,2570,0.22769335994776344,2023 ACS 1 Year
200,San Mateo,"Total: Taxicab, motorcycle, bicycle, or other means:",11352,1.0057490358470857,2023 ACS 1 Year
201,San Mateo,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",1170,0.10365806659100513,2023 ACS 1 Year
202,San Mateo,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",3948,0.3497795272660584,2023 ACS 1 Year
203,San Mateo,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",3714,0.3290479139478574,2023 ACS 1 Year
204,San Mateo,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",2520,0.22326352804216493,2023 ACS 1 Year
205,San Mateo,Total: Worked from home:,69810,6.18493130659664,2023 ACS 1 Year
206,San Mateo,Total: Worked from home: No vehicle available,1417,0.12554143620466177,2023 ACS 1 Year
207,San Mateo,Total: Worked from home: 1 vehicle available,16802,1.4886007135573234,2023 ACS 1 Year
208,San Mateo,Total: Worked from home: 2 vehicles available,31612,2.8007169239956022,2023 ACS 1 Year
209,San Mateo,Total: Worked from home: 3 or more vehicles available,19979,1.7700722328390526,2023 ACS 1 Year
211,Santa Clara,Total: No vehicle available,36967,1.2679306529360963,2023 ACS 1 Year
212,Santa Clara,Total: 1 vehicle available,212091,7.2745064547263665,2023 ACS 1 Year
213,Santa Clara,Total: 2 vehicles available,367523,12.60566660424251,2023 ACS 1 Year
214,Santa Clara,Total: 3 or more vehicles available,355265,12.18522962142836,2023 ACS 1 Year
215,Santa Clara,"Total: Car, truck, or van - drove alone:",643569,22.073764773431183,2023 ACS 1 Year
216,Santa Clara,"Total: Car, truck, or van - drove alone: No vehicle available",17878,0.6131972898312421,2023 ACS 1 Year
217,Santa Clara,"Total: Car, truck, or van - drove alone: 1 vehicle available",127425,4.370548420222957,2023 ACS 1 Year
218,Santa Clara,"Total: Car, truck, or van - drove alone: 2 vehicles available",251701,8.633089330339718,2023 ACS 1 Year
219,Santa Clara,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",246565,8.456929733037265,2023 ACS 1 Year
220,Santa Clara,"Total: Car, truck, or van - carpooled:",101269,3.4734241158921613,2023 ACS 1 Year
221,Santa Clara,"Total: Car, truck, or van - carpooled: No vehicle available",2766,0.0948709980799427,2023 ACS 1 Year
222,Santa Clara,"Total: Car, truck, or van - carpooled: 1 vehicle available",20797,0.7133160329242837,2023 ACS 1 Year
223,Santa Clara,"Total: Car, truck, or van - carpooled: 2 vehicles available",31980,1.096881604698687,2023 ACS 1 Year
224,Santa Clara,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",45726,1.568355480189248,2023 ACS 1 Year
225,Santa Clara,Total: Public transportation (excluding taxicab):,27368,0.9386946765914216,2023 ACS 1 Year
226,Santa Clara,Total: Public transportation (excluding taxicab): No vehicle available,4759,0.16322887919828177,2023 ACS 1 Year
227,Santa Clara,Total: Public transportation (excluding taxicab): 1 vehicle available,9866,0.3383938058773372,2023 ACS 1 Year
228,Santa Clara,Total: Public transportation (excluding taxicab): 2 vehicles available,7249,0.24863335686243845,2023 ACS 1 Year
229,Santa Clara,Total: Public transportation (excluding taxicab): 3 or more vehicles available,5494,0.18843863465336413,2023 ACS 1 Year
230,Santa Clara,Total: Walked:,16405,0.5626748819600361,2023 ACS 1 Year
231,Santa Clara,Total: Walked: No vehicle available,4244,0.14556490088621724,2023 ACS 1 Year
232,Santa Clara,Total: Walked: 1 vehicle available,5364,0.18397976634158086,2023 ACS 1 Year
233,Santa Clara,Total: Walked: 2 vehicles available,3745,0.12844970636637218,2023 ACS 1 Year
234,Santa Clara,Total: Walked: 3 or more vehicles available,3052,0.10468050836586593,2023 ACS 1 Year
235,Santa Clara,"Total: Taxicab, motorcycle, bicycle, or other means:",23445,0.8041397505366076,2023 ACS 1 Year
236,Santa Clara,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",3476,0.11922327885968216,2023 ACS 1 Year
237,Santa Clara,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",8948,0.3069073357987445,2023 ACS 1 Year
238,Santa Clara,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",6598,0.22630471631650834,2023 ACS 1 Year
239,Santa Clara,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",4423,0.1517044195616727,2023 ACS 1 Year
240,Santa Clara,Total: Worked from home:,159790,5.4806351349219256,2023 ACS 1 Year
241,Santa Clara,Total: Worked from home: No vehicle available,3844,0.13184530608073022,2023 ACS 1 Year
242,Santa Clara,Total: Worked from home: 1 vehicle available,39691,1.3613610935614628,2023 ACS 1 Year
243,Santa Clara,Total: Worked from home: 2 vehicles available,66250,2.2723078896587867,2023 ACS 1 Year
244,Santa Clara,Total: Worked from home: 3 or more vehicles available,50005,1.7151208456209452,2023 ACS 1 Year
246,Solano,Total: No vehicle available,4321,0.6983603642916596,2023 ACS 1 Year
247,Solano,Total: 1 vehicle available,26831,4.33642835785918,2023 ACS 1 Year
248,Solano,Total: 2 vehicles available,72423,11.705011030570438,2023 ACS 1 Year
249,Solano,Total: 3 or more vehicles available,102670,16.593533580612053,2023 ACS 1 Year
250,Solano,"Total: Car, truck, or van - drove alone:",154292,24.936685333785867,2023 ACS 1 Year
251,Solano,"Total: Car, truck, or van - drove alone: No vehicle available",2006,0.3242098798354708,2023 ACS 1 Year
252,Solano,"Total: Car, truck, or van - drove alone: 1 vehicle available",18362,2.967667903060276,2023 ACS 1 Year
