"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","gqpop","hhlds"
"1035","19","19","4","699.0","97.3779267822237","97.3779267822237","402.0","766","125","63.0","41.0","144.0","717.0","128","95","19","0.18476","49.38533099255094","89","577","657","719","372","26","122","377","0","9","17","0","0","3","1224","0","0","1.46851","2","0","0","699.0"
"1036","19","19","4","944.0","128.8863935674548","141.8863935674548","644.0","713","568","107.0","89.0","212.0","881.0","110","59","50","0.1415","78.97414674981674","270","657","1125","801","313","77","186","384","3","91","74","0","0","3","0","0","0","1.71714","2","0","5","944.0"
"1037","19","19","4","1095.0","153.9861192874701","176.91437040854635","646.0","665","311","70.0","94.0","168.0","623.0","94","56","38","0.15468","79.29034720222312","102","608","764","700","315","55","61","470","0","12","56","0","0","4","102","0","0","1.65076","3","0","0","1095.0"
"1038","19","19","4","2946.0","367.0821391749129","1037.0514888550836","1767.0","81","1122","255.0","174.0","192.0","453.0","216","71","42","0.00487","216.8619467686631","518","455","2120","177","16","208","21","235","0","34","529","0","0","3","0","0","0","1.7869","2","0","39","2946.0"
"1039","19","19","4","10690.0","1272.449808299904","1281.633709475437","5663.0","701","1374","134.0","274.0","532.0","1160.0","339","94","16","0.13565","694.9319659286322","317","882","1853","1379","545","381","158","419","0","79","92","0","0","3","0","0","0","2.11478","1","0","21","10690.0"
"104","3","3","1","1889.0","186.47233270447435","209.47233270447435","992.0","136","1768","192.0","182.0","286.0","1593.0","68","24.79696","13","0.14476","137.40308837472838","98","132","1930","822","403","356","279","1069","0","39","136","0","71.81642","2","0","0","0","4.5693","1","0","21","1889.0"
"1040","20","20","5","1284.0","139.1077476444563","164.1077476444563","793.0","186","580","57.0","159.0","164.0","278.0","60","30","10","0.09064","82.0807768495676","140","184","946","314","115","69","19","255","0","6","32","0","0","4","0","0","0","2.03565","2","0","2","1284.0"
"1041","20","20","5","1330.0","126.63041517188812","128.6304151718881","731.0","532","378","114.0","211.0","215.0","500.0","161","60","58","0.17098","75.67750451448575","71","253","798","577","272","664","207","794","0","33","53","0","0","3","1429","0","0","1.82124","2","0","1","1330.0"
"1042","20","20","5","757.0","76.5429893190913","129.5429893190913","405.0","766","10","15.0","79.0","124.0","507.0","146","82","25","0.28111","41.924489507701","132","225","467","512","400","16","87","160","0","5","13","0","0","4","0","0","0","1.28874","1","0","12","757.0"
"1043","20","20","5","1490.0","153.46882023219848","164.43461429851612","695.0","1112","57","97.0","73.0","109.0","822.0","349","174","39","0.33296","71.8656332814237","134","379","617","835","732","13","77","152","0","32","24","0","0","4","0","0","0","1.1749","1","0","0","1490.0"
"1044","20","20","5","1032.0","114.8368661579588","114.8368661579588","632.0","1077","31","24.0","20.0","155.0","683.0","213","143","4","0.3031","65.44547674111512","72","438","641","828","601","19","128","86","0","3","25","0","0","4","0","0","0","1.27501","1","0","0","1032.0"
"1045","20","20","5","1995.0","208.9305745025787","208.9305745025787","891.0","1140","24","85.0","93.0","242.0","773.0","586","242","49","0.31878","92.16274413097932","145","435","625","925","825","5","22","156","2","12","49","0","0","4","0","0","0","1.10807","1","0","0","1995.0"
"1046","20","20","5","1169.0","122.94111248204754","122.94111248204754","556.0","915","27","59.0","58.0","135.0","657.0","235","156","12","0.26033","57.69639696439169","118","403","548","816","535","8","16","66","0","8","15","0","0","4","0","0","0","1.17364","1","0","2","1169.0"
"1047","20","20","5","1376.0","141.68897866568108","149.68897866568108","785.0","777","397","80.0","179.0","298.0","635.0","199","94.69667","39","0.19302","81.23804210206444","184","580","971","744","474","118","114","403","0","12","487","0","0","3","0","0","0","1.64079","1","0","15","1376.0"
"1048","20","20","5","871.0","98.21379355244224","110.21379355244224","596.0","762","418","92.0","91.0","225.0","654.0","167","90","20","0.17714","61.69373041890676","209","305","1124","748","335","35","79","221","0","9","16","0","0","4","0","0","0","1.46266","2","0","12","871.0"
"1049","20","20","5","917.0","99.95958525405028","136.4898260056651","564.0","1662","472","294.0","352.0","273.0","1231.0","326","169","25","0.21271","58.68694411161816","303","445","1728","1456","727","259","460","531","0","56","109","0","0","4","0","0","0","1.6229","1","0","5","917.0"
