"ZONE","SD","TOTACRE","RESACRE","CIACRE","SFDU","MFDU","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","ZERO","DISTRICT","gqpop","TOTHH","HHPOP","TOTPOP","EMPRES","hhlds"
"1079","20","2535","892","299","3183","147","0","0","4","40","0","0","1","1.06361","0","20","44","2453.0","309.68563184528415","355.69408013958423","1456.0","2453.0"
"108","3","113.7","7","103","5","485","0","0","2","0","942","125","3","3.00463","0","3","90","3337.0","363.00563108536","616.0056310853599","1818.0","3337.0"
"1080","20","476","285","48","1695","326","0","0","4","22","0","0","1","1.28653","0","20","16","1536.0","180.40279097906142","192.64746630373673","821.0","1536.0"
"1081","20","486","149","18","1304","0","0","0","4","0","0","0","1","1.3614","0","20","12","1100.0","158.5104022491502","177.5104022491502","832.0","1100.0"
"1082","20","509","259","73","1623","449","0","0","4","0","0","0","1","1.35496","0","20","17","2797.0","335.5654196805128","368.99094390321704","1746.0","2797.0"
"1083","20","13462","642","110","4114","1417","0","0","4","0","0","0","1","1.50482","0","20","5","3256.0","391.5944889284401","397.1716782883332","2061.0","3256.0"
"1084","20","2464","627","47","2040","244","0","0","4","1160","0","0","1","1.09146","0","20","31","1697.0","205.72869949044434","245.72869949044434","981.0","1697.0"
"1085","20","679","352","21","1333","49","0","0","4","0","0","0","1","1.17519","0","20","8","3233.0","420.30358048148554","435.30358048148554","2135.0","3233.0"
"1086","20","950","515","69","1971","191","0","0","4","980","0","0","1","1.19832","0","20","1","3645.0","469.25370317283887","487.04208082867115","2359.0","3645.0"
"1087","20","27663","1198","143","2163","285","0","0","5","0","0","0","1","0.99103","0","20","10","3049.0","339.66189192348156","342.69267423640673","1691.0","3049.0"
"1088","20","3913","351","127","1193","113","0","0","4","6","0","0","1","1.08635","0","20","32","1307.0","181.66897867075144","201.6717007692419","825.0","1307.0"
"1089","20","1767","223","642","1415","784","0","0","4","0","0","0","1","1.0994","0","20","13","1490.0","177.2161287249442","344.2161287249442","824.0","1490.0"
"109","3","142.8","23.63865","135","41","4089","83.56469","167.12937","2","0","0","0","3","3.47472","0","3","632","5872.0","731.3058669967829","1052.1386860711168","3937.0","5872.0"
"1090","20","3364","305","63","1053","584","0","0","4","609","0","0","1","1.21942","0","20","0","1055.0","97.23959012540696","97.23959012540696","487.0","1055.0"
"1091","21","3240","261","196","1126","430","0","0","4","1225","0","0","1","1.49758","0","21","2","940.0","94.13330703344499","124.94505091069492","465.0","940.0"
"1092","21","723","22.03134","47","71","426","0","0","3","0","0","0","2","3.14184","0","21","59","1880.0","138.9978455178036","815.9978455178036","639.0","1880.0"
"1093","21","395","66","26","635","467","0","0","4","95","0","0","1","2.29808","0","21","146","802.0","73.00066912997708","84.00066912997708","424.0","802.0"
"1094","21","768","415","112","2560","729","0","0","4","2","0","0","1","1.33188","0","21","34","2270.0","253.81329190326502","263.08308943531244","1435.0","2270.0"
"1095","21","4241","316","699","1166","196","0","0","5","0","0","0","1","1.15127","0","21","0","1605.0","215.58990167088984","233.58990167088984","1105.0","1605.0"
"1096","21","2107","648","627.66864","2757","938","0","0","4","0","0","0","1","1.24215","0","21","73","3324.0","368.98661586924345","389.7337726523466","1920.0","3324.0"
"1097","21","11096","260","910","1265","11","0","0","4","0","481","0","2","1.36413","0","21","83","2293.0","310.0207405825807","334.0207405825807","1699.0","2293.0"
"1098","21","7517","330","5397","2623","638","0","0","5","0","0","0","1","0.93271","0","21","1","4700.0","676.00551148657","682.4293941681342","3268.0","4700.0"
"1099","21","988","618","220.54704","2584","587","0","0","4","0","0","0","2","1.12642","0","21","12","2155.0","246.95595418156074","263.77961113169323","1296.0","2155.0"
"11","1","81","12.58862","38","120","2712","120.83131","269.78715","0","0","0","0","3","4.81965","0","1","117","3983.0","428.38558037244405","951.4672597617571","2126.0","3983.0"
"110","3","263.89999","10.83159","33.84755","15","1261","0","0","3","0","0","0","3","5.20029","0","3","194","3951.0","619.9219106169335","1608.9219106169335","3226.0","3951.0"
"1100","21","2632","817","21","2945","290","0","0","4","0","0","0","1","1.17701","0","21","11","3003.0","345.52825347515926","352.64430039305296","1585.0","3003.0"
"1101","21","695","476","48","1559","3","0","0","4","0","0","0","1","1.06503","0","21","0","1399.0","181.039850346521","181.039850346521","872.0","1399.0"
"1102","21","15377","411","25","290","24","0","0","4","0","0","0","1","0.94196","0","21","0","1490.0","159.9846519490149","159.9846519490149","641.0","1490.0"
"1103","21","2289","978","464","2705","221","0","0","4","0","0","0","1","1.01522","0","21","9","2316.0","294.7701288683377","298.39758726470683","1439.0","2316.0"
"1104","21","345","196","47","1337","39","0","0","4","0","0","0","1","1.23126","0","21","0","1857.0","226.03557422221434","226.03557422221434","1142.0","1857.0"
"1105","21","111","84","2","363","54","0","0","4","0","0","0","1","1.10197","0","21","0","2247.0","321.01738389117463","321.01738389117463","1054.0","2247.0"
"1106","21","629","255","82","1750","1615","0","0","4","1984","0","0","2","1.54151","0","21","13","3600.0","345.6280930718392","417.3167158263302","1688.0","3600.0"
"1107","21","320","179","53","1115","490","0","0","4","94","0","0","2","1.31811","0","21","4","2293.0","280.7566607646843","415.7566607646843","1471.0","2293.0"
"1108","21","601","387","82","2093","183","0","0","4","0","0","0","3","1.23081","0","21","45","917.0","112.41708275376506","157.41708275376504","546.0","917.0"
"1109","21","778","331","308","2561","415","0","0","4","1709","0","0","3","1.21346","0","21","1","1421.0","179.834123148214","286.9479056115722","925.0","1421.0"
"111","3","327","11.75597","211","117","1076","0","0","3","0","0","0","2","1.82649","0","3","34","2487.0","287.28181264099567","862.2818126409957","1849.0","2487.0"
"1110","21","712","513","66","2240","611","0","0","4","0","0","0","3","1.26529","0","21","35","2293.0","266.3133740418153","388.3738226194958","1367.0","2293.0"
"1111","21","541","247","159","1909","25","0","0","4","382","0","0","2","1.26903","0","21","21","871.0","105.00039738438961","122.44071660715159","573.0","871.0"
"1112","21","621","308","145","2050","234","0","0","4","1338","0","0","2","1.41771","0","21","48","1307.0","177.1668528128313","269.1668528128313","867.0","1307.0"
"1113","21","263","35","134","109","1349","0","0","2","0","0","0","3","3.28858","0","21","37","3164.0","220.5340168706918","335.5340168706918","1256.0","3164.0"
"1114","21","160","99","23","352","2400","0","0","3","0","0","0","3","2.06893","0","21","0","8552.0","1073.7966895740294","1073.7966895740294","5374.0","8552.0"
"1115","21","166","57","57","347","1303","0","0","3","0","0","0","3","1.82933","0","21","0","6122.0","697.074737097259","697.074737097259","3610.0","6122.0"
"1116","21","436","237","69","1272","52","0","0","5","0","0","0","3","1.19606","0","21","30","1100.0","146.2327750971828","183.2327750971828","795.0","1100.0"
"1117","21","687","391","33","1050","249","0","0","4","0","0","0","1","1.09855","0","21","16","2545.0","301.24595048624076","325.7504133979059","1503.0","2545.0"
"1118","21","792","425","245","2084","1066","0","0","4","0","0","0","3","1.35223","0","21","73","4035.0","426.7511513297059","550.7279629239088","2317.0","4035.0"
"1119","21","691","504","40.56288","2252","1138","0","0","4","9","0","0","3","1.27526","0","21","21","2682.0","335.97096138171725","354.85177902809676","1543.0","2682.0"
"112","3","67","28","10","308","777","0","0","3","0","209","38","1","2.98552","0","3","1","803.0","104.36326329565716","112.36326329565716","566.0","803.0"
"1120","21","497","293","104","1488","1538","0","0","4","0","0","0","3","1.49423","0","21","8","4058.0","566.7957139940933","580.0084020786805","2874.0","4058.0"
"1121","21","866","393","231","1648","3962","0","0","4","55","0","0","3","2.26365","0","21","18","3668.0","304.07803181693197","376.4953024010584","1867.0","3668.0"
"1122","21","2022","406","1147","2586","402","0","0","4","52","0","0","3","1.47539","0","21","94","1995.0","228.1040889133633","300.61204197724857","1061.0","1995.0"
"1123","21","566","171","171","1229","1163","0","0","4","0","0","0","1","1.5633","0","21","45","3760.0","387.0532444069452","425.0532444069452","2021.0","3760.0"
"1124","21","1055","616","81","2130","418","0","0","4","167","0","0","1","1.46548","0","21","20","2568.0","299.8566498525063","462.8566498525063","1398.0","2568.0"
